date,srtg_price_idr,TBIG,MDKA,ADRO,AADI,MPMX,AGII,NRCA,jci_idx,nav_idr_bn,nav_per_share_idr,discount_to_nav_pct
2025-01-08,1845.0,2070.0,1360.0,2400.0,7800.0,975.0,1325.0,344.0,,60332.05,4452.55,58.56
2025-01-09,1790.0,2050.0,1340.0,2340.0,7700.0,970.0,1320.0,346.0,,59676.91,4404.2,59.36
2025-01-10,1815.0,2030.0,1410.0,2320.0,8475.0,965.0,1315.0,346.0,,60672.29,4477.66,59.47
2025-01-13,1825.0,2030.0,1475.0,2350.0,8350.0,955.0,1325.0,342.0,,60951.83,4498.29,59.43
2025-01-14,1905.0,2030.0,1635.0,2360.0,8725.0,965.0,1325.0,346.0,,62225.67,4592.3,58.52
2025-01-15,1930.0,2070.0,1610.0,2400.0,8825.0,980.0,1295.0,350.0,,62730.94,4629.59,58.31
2025-01-16,1925.0,2070.0,1600.0,2410.0,8800.0,980.0,1305.0,350.0,,62704.79,4627.66,58.4
2025-01-17,1920.0,2080.0,1610.0,2400.0,8900.0,980.0,1330.0,348.0,,62901.54,4642.18,58.64
2025-01-20,1925.0,2090.0,1700.0,2350.0,8925.0,980.0,1435.0,346.0,,63222.27,4665.85,58.74
2025-01-21,1925.0,2090.0,1650.0,2310.0,8850.0,980.0,1485.0,346.0,,62722.14,4628.94,58.41
2025-01-22,1885.0,2050.0,1650.0,2320.0,8925.0,980.0,1460.0,346.0,,62565.09,4617.35,59.18
2025-01-23,1900.0,2050.0,1605.0,2340.0,9100.0,980.0,1410.0,348.0,,62639.21,4622.82,58.9
2025-01-24,1845.0,2000.0,1600.0,2300.0,9075.0,980.0,1415.0,346.0,,62039.76,4578.58,59.7
2025-01-30,1835.0,2020.0,1580.0,2300.0,9625.0,975.0,1360.0,346.0,,62708.86,4627.96,60.35
2025-01-31,1915.0,2070.0,1565.0,2330.0,9450.0,980.0,1360.0,348.0,,62943.82,4645.3,58.78
2025-02-03,1850.0,2080.0,1450.0,2310.0,9050.0,965.0,1385.0,344.0,,61872.28,4566.22,59.49
2025-02-04,1840.0,2100.0,1500.0,2330.0,8975.0,965.0,1380.0,344.0,,62256.56,4594.58,59.95
2025-02-05,1820.0,2090.0,1475.0,2360.0,8850.0,965.0,1365.0,346.0,,62057.51,4579.89,60.26
2025-02-06,1800.0,2090.0,1430.0,2290.0,8325.0,955.0,1360.0,342.0,,60863.21,4491.75,59.93
2025-02-07,1775.0,2110.0,1420.0,2270.0,8150.0,965.0,1315.0,338.0,,60667.69,4477.32,60.36
2025-02-10,1750.0,2180.0,1490.0,2210.0,7975.0,955.0,1295.0,334.0,,60974.32,4499.95,61.11
2025-02-11,1760.0,2190.0,1455.0,2150.0,7750.0,950.0,1155.0,330.0,,60272.43,4448.15,60.43
2025-02-12,1750.0,2200.0,1505.0,2240.0,8050.0,950.0,1160.0,332.0,,61365.1,4528.79,61.36
2025-02-13,1705.0,2200.0,1670.0,2210.0,7950.0,955.0,1175.0,332.0,,61901.82,4568.4,62.68
2025-02-14,1760.0,2210.0,1650.0,2240.0,8000.0,960.0,1250.0,332.0,,62116.32,4584.23,61.61
2025-02-17,1885.0,2220.0,1800.0,2280.0,8250.0,955.0,1270.0,336.0,,63377.28,4677.29,59.7
2025-02-18,1885.0,2240.0,1800.0,2260.0,8375.0,960.0,1300.0,338.0,,63594.89,4693.35,59.84
2025-02-19,1850.0,2220.0,1750.0,2250.0,8075.0,955.0,1305.0,336.0,,62801.81,4634.82,60.08
2025-02-20,1890.0,2190.0,1810.0,2200.0,7650.0,950.0,1325.0,332.0,,62123.77,4584.78,58.78
